APA no (1-6),WIB no (0-4),FEMB no (0-3),FW Version,WR Sequence,WR ADDR (HEX),WR VALUE (HEX),RDBK VALUE (HEX),Note,
1,0,0,V0323,1,0x5,0x1f40a08,0x1f40a08, #paras for calibration,
1,0,0,V0323,2,0x15,0x630000,0x630000,  #configure ADC timing,
1,0,0,V0323,3,0x16,0x0,0x0,#configure ADC timing,
1,0,0,V0323,4,0x17,0x90009,0x90009, #configure ADC timing,
1,0,0,V0323,5,0x18,0x600060,0x600060,#configure ADC timing,
1,0,0,V0323,6,0x19,0x40004,0x40004, #configure ADC timing,
1,0,0,V0323,7,0x1a,0x2e002e,0x2e002e,  #configure ADC timing,
1,0,0,V0323,8,0x1b,0x360036,0x360036, #configure ADC timing,
1,0,0,V0323,9,0x1c,0x600060,0x600060, #configure ADC timing,
1,0,0,V0323,10,0x1d,0x40004,0x40004, #configure ADC timing,
1,0,0,V0323,11,0x1e,0xa000a,0xa000a, #configure ADC timing,
1,0,0,V0323,12,0x1f,0x250025,0x250025, #configure ADC timing,
1,0,0,V0323,13,0x20,0x600060,0x600060, #configure ADC timing,
1,0,0,V0323,14,0x21,0x40004,0x40004, #configure ADC timing,
1,0,0,V0323,15,0x23,0x9000b,0x9000b, #configure phase of ADC timing,
1,0,0,V0323,16,0x24,0xc0007,0xc0007,  #configure phase of ADC timing,
1,0,0,V0323,17,0x25,0xa,0xa,  #configure phase of ADC timing,
1,0,0,V0323,18,0x26,0x50000,0x50000,  #configure phase of ADC timing,
1,0,0,V0323,19,0x27,0x30004,0x30004,  #configure phase of ADC timing,
1,0,0,V0323,20,0x28,0x40004,0x40004,  #configure phase of ADC timing,
1,0,0,V0323,21,0x23,0x9000b,0x9000b,  #configure phase of ADC timing,
1,0,0,V0323,22,0x24,0xc0007,0xc0007,  #configure phase of ADC timing,
1,0,0,V0323,23,0x25,0x8000000a,0x8000000a,  #configure phase of ADC timing,
1,0,0,V0323,24,0x26,0x50000,0x50000,  #configure phase of ADC timing,
1,0,0,V0323,25,0x27,0x30004,0x30004,  #configure phase of ADC timing,
1,0,0,V0323,26,0x28,0x80040004,0x80040004,  #configure phase of ADC timing,
1,0,0,V0323,27,0x23,0x9000b,0x9000b,  #configure phase of ADC timing,
1,0,0,V0323,28,0x24,0xc0007,0xc0007,  #configure phase of ADC timing,
1,0,0,V0323,29,0x25,0xa,0xa,  #configure phase of ADC timing,
1,0,0,V0323,30,0x26,0x50000,0x50000,  #configure phase of ADC timing,
1,0,0,V0323,31,0x27,0x30004,0x30004,  #configure phase of ADC timing,
1,0,0,V0323,32,0x28,0x40004,0x40004,  #configure phase of ADC timing,
1,0,0,V0323,33,0x23,0x9000b,0x9000b,  #configure phase of ADC timing,
1,0,0,V0323,34,0x24,0xc0007,0xc0007,  #configure phase of ADC timing,
1,0,0,V0323,35,0x25,0x8000000a,0x8000000a,  #configure phase of ADC timing,
1,0,0,V0323,36,0x26,0x50000,0x50000,  #configure phase of ADC timing,
1,0,0,V0323,37,0x27,0x30004,0x30004,  #configure phase of ADC timing,
1,0,0,V0323,38,0x28,0x80040004,0x80040004,  #configure phase of ADC timing,
1,0,0,V0323,39,0x0,0x4,  ,   #time stampe reset,
1,0,0,V0323,40,0x0,0x4,  ,   #time stampe reset,
1,0,0,V0323,41,0x1,0x1,  ,   #SPI Reset,
1,0,0,V0323,42,0x1,0x1,  ,   #SPI Reset,
1,0,0,V0323,43,0x1,0x2,  ,   #ADC soft_reset,
1,0,0,V0323,44,0x1,0x2,  ,   #ADC soft_reset,
